Time,Anchor1,Anchor2,Anchor3,Anchor4,Filtered_X,Filtered_Y
22:04:13,2.97,2.03,0.38,2.27,2.41,2.15
22:04:13,3.26,2.15,0.38,2.18,2.42,2.20
22:04:13,3.58,2.08,0.36,2.19,2.49,2.28
22:04:13,3.67,2.1,0.35,2.2,2.56,2.37
22:04:13,3.66,2.27,0.35,2.17,2.60,2.44
22:04:13,3.65,2.23,0.38,2.21,2.64,2.51
22:04:14,3.65,2.22,0.44,2.2,2.67,2.56
22:04:14,3.66,2.14,0.43,2.2,2.71,2.61
22:04:14,3.59,2.14,0.43,2.19,2.73,2.64
22:04:14,3.55,2.19,0.43,2.21,2.74,2.66
22:04:14,3.44,2.11,0.43,2.2,2.74,2.66
22:04:14,3.46,2.17,0.43,2.21,2.74,2.66
22:04:15,3.47,2.1,0.45,2.19,2.74,2.67
22:04:15,3.48,2.13,0.41,2.2,2.74,2.67
22:04:15,3.46,2.12,0.44,2.19,2.74,2.68
22:04:15,3.46,2.15,0.45,2.19,2.74,2.68
22:04:15,3.5,2.13,0.44,2.18,2.75,2.69
22:04:15,3.5,2.18,0.45,2.16,2.75,2.70
22:04:16,3.55,2.2,0.45,2.17,2.75,2.72
22:04:16,3.47,2.21,0.46,2.23,2.75,2.71
22:04:16,3.48,2.14,0.45,2.16,2.75,2.71
22:04:16,3.42,2.12,0.47,2.18,2.74,2.71
22:04:16,3.46,2.18,0.46,2.17,2.74,2.71
22:04:16,3.47,2.19,0.47,2.2,2.73,2.71
22:04:17,3.48,2.18,0.49,2.17,2.73,2.71
22:04:17,3.51,2.08,0.46,2.21,2.74,2.71
22:04:17,3.48,2.16,0.46,2.2,2.74,2.71
22:04:17,3.53,2.04,0.46,2.16,2.76,2.72
22:04:17,2.96,1.95,0.46,2.19,2.71,2.65
22:04:17,3.14,2.2,0.46,2.12,2.66,2.62
22:04:18,3.18,2.51,0.46,2.12,2.59,2.59
22:04:18,3.25,2.87,0.45,2.2,2.50,2.57
22:04:18,3.23,2.19,0.48,2.17,2.49,2.56
22:04:18,3.12,2.22,0.47,2.19,2.46,2.53
22:04:18,3.14,2.23,0.46,2.2,2.44,2.50
22:04:19,3.24,2.2,0.44,2.2,2.44,2.49
22:04:19,3.34,2.12,0.45,2.17,2.47,2.50
22:04:19,3.24,2.24,0.44,2.18,2.46,2.50
22:04:19,3.26,2.22,0.45,2.14,2.46,2.50
22:04:19,3.21,2.26,0.47,2.18,2.45,2.49
22:04:19,3.13,2.27,0.44,2.17,2.42,2.47
22:04:20,3.17,2.24,0.45,2.19,2.41,2.46
22:04:20,3.15,2.24,0.46,2.19,2.40,2.45
22:04:20,3.18,2.23,0.48,2.21,2.39,2.44
22:04:20,3.19,2.24,0.46,2.2,2.39,2.43
22:04:20,3.21,2.16,0.46,2.23,2.40,2.42
22:04:20,3.16,2.19,0.45,2.21,2.39,2.41
22:04:21,3.19,2.2,0.45,2.22,2.39,2.41
22:04:21,3.18,2.18,0.47,2.18,2.39,2.41
22:04:21,3.2,2.15,0.46,2.2,2.40,2.41
22:04:21,3.17,2.13,0.45,2.21,2.40,2.40
22:04:21,3.13,2.14,0.47,2.2,2.40,2.39
22:04:21,3.19,2.19,0.46,2.18,2.40,2.39
22:04:22,3.19,2.22,0.46,2.2,2.39,2.39
22:04:22,3.2,2.21,0.46,2.21,2.39,2.39
22:04:22,3.2,2.2,0.44,2.17,2.39,2.39
22:04:22,3.23,2.22,0.48,2.19,2.40,2.40
22:04:22,3.19,2.19,0.47,2.21,2.40,2.40
22:04:23,3.19,2.21,0.46,2.2,2.40,2.40
22:04:23,3.2,2.19,0.45,2.18,2.40,2.40
22:04:23,3.18,2.18,0.47,2.21,2.40,2.39
22:04:23,3.18,2.24,0.48,2.25,2.39,2.39
22:04:23,3.15,2.21,0.48,2.2,2.38,2.38
22:04:23,3.2,2.24,0.47,2.23,2.38,2.38
22:04:24,3.2,2.21,0.5,2.21,2.38,2.38
22:04:24,3.18,2.21,0.46,2.2,2.38,2.38
22:04:24,3.2,2.19,0.46,2.21,2.38,2.38
22:04:24,3.19,2.17,0.46,2.17,2.39,2.39
22:04:24,3.19,2.19,0.46,2.19,2.39,2.39
22:04:24,3.15,2.24,0.47,2.18,2.38,2.39
22:04:25,3.21,2.21,0.46,2.19,2.38,2.39
22:04:25,3.19,2.24,0.46,2.18,2.38,2.39
22:04:25,3.19,2.23,0.47,2.21,2.38,2.39
22:04:25,3.2,2.21,0.46,2.23,2.38,2.39
22:04:25,3.16,2.25,0.47,2.2,2.37,2.38
22:04:26,3.22,2.27,0.49,2.2,2.37,2.39
22:04:26,3.19,2.21,0.47,2.21,2.37,2.39
22:04:26,3.14,2.21,0.49,2.18,2.37,2.38
22:04:26,3.2,2.23,0.47,2.2,2.37,2.39
22:04:26,3.13,2.23,0.45,2.22,2.36,2.38
22:04:26,3.15,2.23,0.46,2.19,2.35,2.37
22:04:27,3.15,2.21,0.46,2.21,2.35,2.37
22:04:27,3.15,2.21,0.46,2.18,2.35,2.37
22:04:27,3.16,2.21,0.47,2.21,2.35,2.36
22:04:27,3.2,2.25,0.47,2.22,2.35,2.37
22:04:27,3.15,2.22,0.48,2.2,2.35,2.37
22:04:27,3.17,2.2,0.45,2.18,2.35,2.37
22:04:28,3.18,2.23,0.44,2.19,2.35,2.37
22:04:28,3.2,2.21,0.46,2.23,2.36,2.37
22:04:28,3.18,2.21,0.48,2.21,2.36,2.37
22:04:28,3.15,2.42,0.48,2.2,2.34,2.37
22:04:28,3.17,2.28,0.45,2.21,2.33,2.37
22:04:28,3.11,2.22,0.46,2.2,2.33,2.36
22:04:29,3.05,2.29,0.49,2.2,2.31,2.34
22:04:29,3.04,2.23,0.47,2.17,2.29,2.33
22:04:29,3.05,2.08,0.46,2.21,2.30,2.32
22:04:29,3.08,2.42,0.46,2.22,2.27,2.31
22:04:29,3.08,2.59,0.45,2.23,2.23,2.30
22:04:30,3.02,2.58,0.46,2.21,2.19,2.29
22:04:30,3.04,2.62,0.48,2.23,2.15,2.28
22:04:30,3.08,2.48,0.46,2.24,2.14,2.28
22:04:30,3.06,2.47,0.49,2.22,2.13,2.27
